,audio,transcription,similarity
424,common_voice_en_18129830.mp3,Adult female low pitched voice is speaking clearly.,1
425,common_voice_en_18129830.mp3,Mature woman with low voice speaks emotionlessly.,0
426,common_voice_en_17275158.mp3,Young male speaks with clear pronunciation and curious voice and with some noise of a microphone.,1
427,common_voice_en_17275158.mp3,"Adult male with high pitched monotone, Indian accent, emotionless.",0
428,common_voice_en_28804586.mp3,Adult deep male voice is mumbling.,1
429,common_voice_en_28804586.mp3,The low pitched voice of an adult male with a native and moderate pronunciation with convincing voice perception.,0
430,common_voice_en_24839713.mp3,Mature male with deep voice and American accent and convincing speech.,1
431,common_voice_en_24839713.mp3,Teenage female with bossy and confident voice speaks clearly,0
432,p240_340_mic1.flac,Young female voice with British accent is speaking thoughtfully.,1
433,p240_340_mic1.flac,The emotionless voice of an adult female with Indian accent with a pausing pronunciation. ,0
434,common_voice_en_19501975.mp3,Adult male voice is speaking seriously with some background noise.,1
435,common_voice_en_19501975.mp3,High pitched young female voice with clear pronunciation with emotional speech.,0
436,common_voice_en_21824350.mp3,Young female voice is speaking friendly with surprise.,1
437,common_voice_en_21824350.mp3,Teenage girl with American accent and low-pitched voice,0
438,common_voice_en_17993802.mp3,Adult male voice is quietly and slowly mumbling.,1
439,common_voice_en_17993802.mp3,Adult male high pitched voice is speaking monotously.,0
440,p254_052_mic1.flac,Adult low pitched male voice with clear pronunciation speaks confidently,1
441,p254_052_mic1.flac,Adult male with clear pronunciation and deep emotionless voice speaks calmly.,0
442,common_voice_en_29230456.mp3,Hollow mature male voice with clear pronunciation speaks slowly with children sounds as background noise.,1
443,common_voice_en_29230456.mp3,Low pitched guttural adult male voice with German accent and clear pronunciation with confident expressive speech with small thud in the end.,0
444,common_voice_en_23337638.mp3,"Bright adult male voice with clear pronunciation yet recording sounds flat, with emotionless but convincing speech.",1
445,common_voice_en_23337638.mp3,Adult deep male voice is mumbling.,0
446,common_voice_en_148836.mp3,Flat young male voice with clear pronunciation with unknown accent with calm speech.,1
447,common_voice_en_148836.mp3,Adult male with a serious and nasal voice and clear pronunciation,0
448,common_voice_en_18261098.mp3,Adult female voice with clear pronunciation speaks unconfidently.,1
449,common_voice_en_18261098.mp3,Low pitched adult male voice with American accent and clear pronunciation with hasty rather emotionless speech.,0
450,common_voice_en_19671246.mp3,"Adult male voice with clear pronunciation with calm and monotone, emotionless speech speaks confidently",1
451,common_voice_en_19671246.mp3,Adult man with an American accent and a low voice speaks with an unclear pronunciation.,0
452,common_voice_en_17416292.mp3,Adult male voice with unclear pronunciation with calm and emotionless yet interested speech makes pauses while speaking.,1
453,common_voice_en_17416292.mp3,Mature male with strong voice speaking with clear pronunciation.,0
454,common_voice_en_25087181.mp3,"Adult deep male voice with clear pronunciation with calm and confident, emotionless speech.",1
455,common_voice_en_25087181.mp3,Young female with American accent speaks with upset voice,0
456,common_voice_en_22729971.mp3,"Adult male voice with clear pronunciation with uninterested speech, speaks calmly",1
457,common_voice_en_22729971.mp3,An adult man with squeaky voice  stumbles while speaking ,0
458,common_voice_en_22319547.mp3,High pitched young female voice with clear pronunciation with emotional speech.,1
459,common_voice_en_22319547.mp3,Young male with an Eastern European accent and a flat bored voice with background noise of a barking dog.,0
460,common_voice_en_20303566.mp3,Teenager flat female voice with clear pronunciation sounds like an english native speaker sounds nervous with hiss as a background noise.,1
461,common_voice_en_20303566.mp3,Young male with British accent speaks with informative voice and talking background noise which is quite loud,0
462,common_voice_en_22347433.mp3,Young female voice with clear pronunciation that sounds like a native english speaker with outdoor road sounds as background noises.,1
463,common_voice_en_22347433.mp3,Young woman with British accent speaks clearly with an actor's voice.,0
464,common_voice_en_25170613.mp3,"Adult female voice with unclear pronunciation speaks very fast, speech is confident yet emotionless",1
465,common_voice_en_25170613.mp3,"Adult female with smooth and monotone voice, clear pronunciation and quick pace.",0
466,common_voice_en_20044261.mp3,"Mature female voice with clear pronunciation, sounds like a native english speaker probably with American accent with high pitched hiss as a background noise.",1
467,common_voice_en_20044261.mp3,Young male with monotone voice and unclear pronunciation speaks slowly.,0
468,common_voice_en_18745576.mp3,"Young male voice with clear pronunciation, speaks calmly and confidently, speech is emotionless yet convincing",1
469,common_voice_en_18745576.mp3,"A young male speaking quietly, almost whispering with a clear pronunciation and a slow talking pace. ",0
470,common_voice_en_27348931.mp3,"Adult male voice with unclear pronunciation probably with Indian accent speaks emotionally, stumbles while speaking",1
471,common_voice_en_27348931.mp3,Adult male with a slightly lower pitched voice with unclear pronunciation.,0
472,p284_072_mic1.flac,Low pitched male voice with clear pronunciation speaks confidently with emotionless speech.,1
473,p284_072_mic1.flac,The woman in the clip speaks fast with a medium tone. She has a British accent.,0
474,common_voice_en_20654200.mp3,Adult male voice with clear pronunciation with speech that is emotionless and monotone.,1
475,common_voice_en_20654200.mp3,"A man with a nasal voice, probably in his 30s, clear pronunciation.",0
476,common_voice_en_22911296.mp3,Young female voice with clear pronunciation speaks confidently with interested speech with hiss as a background noise ,1
477,common_voice_en_22911296.mp3,An adult male speaking in a deeper voice.,0
478,common_voice_en_17276001.mp3,"Teenager male voice with clear pronunciation speech sounds uninterested and emotionless, speaks calmly.",1
479,common_voice_en_17276001.mp3,The guy with the high-pitch-voice speaks at a medium pace and pauses. He is not a native speaker. ,0
480,common_voice_en_31099531.mp3,Adult male with an African accent and a nasal voice,1
481,common_voice_en_31099531.mp3,"A younger adult female with American accent and high pitched, more childlike voice speaks in a clear, convincing manner",0
482,common_voice_en_558594.mp3,The flat voice of a young male with a native and fast pronunciation. ,1
483,common_voice_en_558594.mp3,A young female with Australian accent with piercing voice,0
484,common_voice_en_27306696.mp3,The emotionless voice of an adult female with Indian accent with a pausing pronunciation. ,1
485,common_voice_en_27306696.mp3,"Adult male speaking calmly, audio is interupted",0
486,common_voice_en_18413929.mp3,The thin voice of a young male with a brief pronunciation. ,1
487,common_voice_en_18413929.mp3,An adult female saying something in a clear voice.,0
488,p330_254_mic1.flac,The sad voice of a young female with a native and moderate pronunciation with tired voice perception.,1
489,p330_254_mic1.flac,The emotionless voice of an adult male with a vague and monotone pronunciation with whispering and tired voice perception. ,0
490,common_voice_en_19263318.mp3,The low pitched voice of an elderly male with a native and moderate pronunciation with concinving voice perception. ,1
491,common_voice_en_19263318.mp3,Adult male high pitched voice with clear pronunciation and convincing speech.,0
492,common_voice_en_20314251.mp3,The serious voice of an adult male with a clear and native pronunciation with convincing voice perception. ,1
493,common_voice_en_20314251.mp3,Deep guttural and husky adult male voice with American accent and clear pronunciation with expressive confident and wavy speech with mouse clicking in the background.,0
494,common_voice_en_20068443.mp3,The low pitched voice of an adult male with a native and moderate pronunciation with convincing voice perception.,1
495,common_voice_en_20068443.mp3,Mature male with a flat monotone voice speaks indistinctly.,0
496,common_voice_en_18087564.mp3,The low pitched voice of an adult male with a native and moderate pronunciation. ,1
497,common_voice_en_18087564.mp3,"Mature male with deep and smooth voice, clear pronunciation and slow pace.",0
498,common_voice_en_19467743.mp3,The deep voice of an adult male with a fast pronunciation. ,1
499,common_voice_en_19467743.mp3,Adult female with low pitched surprised voice and an accent with unclear pronunciation and creaking sound in the background.,0
500,p312_024_mic1.flac,The childlike voice of a teenager girl with a moderate and clear pronunciation with vibrant voice perception. ,1
501,p312_024_mic1.flac,An adult man with bass voice and American accent speaks ,0
502,common_voice_en_508280.mp3,The loud and emotional voice of an adult male with a clear pronunciation. ,1
503,common_voice_en_508280.mp3,"An adult male with a deep emotionless voice, clear pronunciation and an American accent.",0
504,common_voice_en_19310279.mp3,The low pitched voice of an adult male with a native and moderate pronunciation. ,1
505,common_voice_en_19310279.mp3,An adult male with an Indian accent and a bit high-pitched voice speaks convincingly.,0
506,common_voice_en_17249607.mp3,The emotionless voice of an adult male with a vague and monotone pronunciation with whispering and tired voice perception. ,1
507,common_voice_en_17249607.mp3,Adult male with the deep booming voice of a movie trailer narrator speaks with emphasis.,0
508,common_voice_en_19773941.mp3,The serious vocie of an adult female with a moderate and native pronunciation. ,1
509,common_voice_en_19773941.mp3,A young American man speaks with some degree of fuzziness over slight white noise.,0
510,common_voice_en_486439.mp3,The low pitched voice of an adult male with a native and moderate pronunciation. ,1
511,common_voice_en_486439.mp3,Adult male speaks with modulated confident voice with clear pronunciation.,0
512,common_voice_en_19795985.mp3,The emotional voice of an elderly male with a moderate and brief pronunciation. ,1
513,common_voice_en_19795985.mp3,"Mature male with emotionless, boring voice.",0
514,common_voice_en_492238.mp3,The deep voice of an adult male with some accent and paused speech. ,1
515,common_voice_en_492238.mp3,Adult woman with low and muffled voice speaks quickly one word.,0
516,p286_360_mic1.flac,The deep voice of a young male with a fast and native pronunciation. ,1
517,p286_360_mic1.flac,Low pitched guttural adult male voice with German accent and clear pronunciation with confident expressive speech with small thud in the end.,0
518,common_voice_en_28729023.mp3,The low pitched voice of an elderly female with a slow and clear pronunciation. ,1
519,common_voice_en_28729023.mp3,Adult male with an Indian accent who lacks pauses in his speech.,0
520,common_voice_en_511857.mp3,The loud voice of a young female with a native and fast pronunciation. ,1
521,common_voice_en_511857.mp3,Adult male with Indian accent and flat voice,0
522,common_voice_en_19410473.mp3,Young adult male with creaky voice and calm and slow speech.,1
523,common_voice_en_19410473.mp3,Elder female with professional and frank voice speaks,0
524,common_voice_en_20243719.mp3,Adult female with low pitched and moody voice.,1
525,common_voice_en_20243719.mp3,Adult male with unclear pronunciation.,0
526,common_voice_en_27561296.mp3,Middle aged male with fluent and vivid speech ,1
527,common_voice_en_27561296.mp3,Adult male with quiet and calm voice and high frequency background noise,0
528,common_voice_en_495693.mp3,Young adult male with clear pronunciation speaks into microphone with a quiet setting. ,1
529,common_voice_en_495693.mp3,"Adult male with slight Russian or Scandinavian accent, deep low pitched voice and clear pronunciation.",0
530,common_voice_en_20771878.mp3,Mature female with American accent and calm emotionless speech.,1
531,common_voice_en_20771878.mp3,An adult male voice with trying pronunciation and an unknown accent,0
532,common_voice_en_18143698.mp3,Adult male with deep and convincing voice.,1
533,common_voice_en_18143698.mp3,"Adult American female with calm and clear, careful pronunciation, but still natural speech.",0
534,common_voice_en_580756.mp3,Adult female with a bit unclear pronunciation and creaky voice.,1
535,common_voice_en_580756.mp3,A young female with Australian accent with piercing voice,0
536,common_voice_en_26466227.mp3,Adult male with quiet and calm voice and high frequency background noise,1
537,common_voice_en_26466227.mp3,"Adult female with British accent, smooth and monotone voice, clear pronunciation and normal pace.",0
538,common_voice_en_27500728.mp3,Middle aged male sounds like too far away from the microphone.,1
539,common_voice_en_27500728.mp3,"A young girl speaking loudly and in a slightly aggravated tone, some sort of machine can be heard in the background.",0
540,common_voice_en_477917.mp3,"Mature male with emotionless, boring voice.",1
541,common_voice_en_477917.mp3,Adult male with deep voice speaks slowly and clearly,0
542,p304_401_mic1.flac,Adult male sounds like reading a direct speech from a book.,1
543,p304_401_mic1.flac,An adult male with an Indian accent and a bit high-pitched voice speaks convincingly.,0
544,common_voice_en_19671619.mp3,Young adult female with neutral emotionless voice.,1
545,common_voice_en_19671619.mp3,"Young male with a calm, emotionless and flat voice and a bit unclear pronunciation",0
546,common_voice_en_293811.mp3,"Adult male with a bit creaky voice speaks calmly and slowly, makes pauses while speaking.",1
547,common_voice_en_293811.mp3,An adult man with American accent stumbles while speaking ,0
548,common_voice_en_19106806.mp3,Mature male with melodious voice and British accent.,1
549,common_voice_en_19106806.mp3,Adult male high pitched voice is speaking monotously.,0
550,common_voice_en_19724864.mp3,Middle aged female with convincing official sounding voice and British accent.,1
551,common_voice_en_19724864.mp3,Adult male with a foreign accent and a sharp yet flat voice.,0
552,common_voice_en_27478180.mp3,A girl with slight accent and some audio technical background noise.,1
553,common_voice_en_27478180.mp3,A young non-native male speaker with a rather deep voice speaks rather lousily and quickly over static before a click.,0
554,common_voice_en_28485712.mp3,Mature female with saleswoman voice makes pauses while speaking.,1
555,common_voice_en_28485712.mp3,Adult male with a monotone low pitched voice and clear pronunciation.,0
556,common_voice_en_13813911.mp3,Middle aged male with an accent and a bit unclear pronunciation.,1
557,common_voice_en_13813911.mp3,A young American man speaks with some degree of fuzziness over slight white noise.,0
558,common_voice_en_10676157.mp3,Adult female with a bit unclear pronunciation and stressed speech.,1
559,common_voice_en_10676157.mp3,Adult male speaking quietly in a low slow voice with an accent. ,0
560,common_voice_en_20727808.mp3,Middle aged female with a slight accent and sharp voice.,1
561,common_voice_en_20727808.mp3,Elder female with professional and frank voice speaks,0
562,common_voice_en_27040241.mp3,An adult man with low pitched voice and Indian accent speaks unclearly ,1
563,common_voice_en_27040241.mp3,Adult male voice is speaking seriously with some background noise.,0
564,common_voice_en_20145000.mp3,An adult man with bass voice pauses while speaking ,1
565,common_voice_en_20145000.mp3,Adult female speaks fast and clear with background noise of a click,0
566,p314_055_mic1.flac,An adult woman with British accent speaks emotionless,1
567,p314_055_mic1.flac,Adult male with a medium pitched friendly voice ,0
568,common_voice_en_23699980.mp3,An adult woman with squeaky voice speaks slowly ,1
569,common_voice_en_23699980.mp3,Elderly male deep voice with convincing speech.,0
570,common_voice_en_23353967.mp3,An adult man with low voice pauses while speaking,1
571,common_voice_en_23353967.mp3,young male with indian accent and slow speech,0
572,p262_265_mic1.flac,An elderly woman with American accent and bass voice speaks nervously ,1
573,p262_265_mic1.flac,"Adult female with American accent speaking in a clear, explanatory tone of voice.",0
574,common_voice_en_20162588.mp3,A teenager woman with childlike voice speaks scratchy ,1
575,common_voice_en_20162588.mp3,Adult woman with a higher pitched voice speaks in a convincing way with very clear and proper pronounciation,0
576,common_voice_en_21916665.mp3,An adult man with squeaky voice  stumbles while speaking ,1
577,common_voice_en_21916665.mp3,High pitched slightly nasal adult female voice with American accent and clear pronunciation with rather fast-paced rhythmic speech.,0
578,p247_240_mic1.flac,An adult man with British accent and high pitched voice speaks menacing ,1
579,p247_240_mic1.flac,"A guy with a non-native English accent speaks in a soft, fast and medium tone.",0
580,common_voice_en_28248110.mp3,An adult man with bass voice and American accent pauses while speaking ,1
581,common_voice_en_28248110.mp3,"An adult man with a nasal voice speaking expressively, almost like a nerd.",0
582,common_voice_en_649729.mp3,An adult woman speaks lowly ,1
583,common_voice_en_649729.mp3,Adult male with a throaty strangled voice ,0
584,common_voice_en_22249231.mp3,An elderly man with American accent speech,1
585,common_voice_en_22249231.mp3,Adult male with an Indian accent and mumbling speech with a background noise of beeping.,0
586,common_voice_en_24536086.mp3,An adult woman with American accent speaks seductive ,1
587,common_voice_en_24536086.mp3,An adult man with squeaky voice  stumbles while speaking ,0
588,common_voice_en_18608115.mp3,An adult man with bass voice and American accent speaks,1
589,common_voice_en_18608115.mp3,Adult male with soft voice speaking unconfidently with German accent.,0
590,common_voice_en_544955.mp3,An adult man with bass voice and American accent speaks lowly ,1
591,common_voice_en_544955.mp3,"adult male with accent, loud and deep voice",0
592,common_voice_en_20403586.mp3,An adult man with American accent stumbles while speaking ,1
593,common_voice_en_20403586.mp3,Adult male with unclear pronunciation and nasal weak voice,0
594,common_voice_en_644784.mp3,An adult man with bass voice and American accent speaks lowly ,1
595,common_voice_en_644784.mp3,Adult male voice with clear pronunciation and confident speech speaking slowly.,0
596,p284_105_mic1.flac,An adult man with bass voice and American accent speaks ,1
597,p284_105_mic1.flac,"A younger adult female with American accent and high pitched, more childlike voice speaks in a clear, convincing manner",0
598,common_voice_en_17282361.mp3,An adult man with childlike voice speaks with hissy background,1
599,common_voice_en_17282361.mp3,An adult male with a low voice speaking in a loud and clear manner but is too close to the mic.,0
600,p226_022_mic1.flac,An adult man with British accent and high voice speaks like reporting ,1
601,p226_022_mic1.flac,Adult female with deep voice and clear pronunciation with piercing speech,0
602,common_voice_en_494668.mp3,Adult woman high pitched voice with Indian accent.,1
603,common_voice_en_494668.mp3,Deep guttural and husky adult male voice with American accent and clear pronunciation with expressive confident and wavy speech with mouse clicking in the background.,0
604,common_voice_en_20002252.mp3,Adult woman low pitched voice with clear pronunciation speaking slowly.,1
605,common_voice_en_20002252.mp3,Adult male with an African accent and a nasal voice,0
606,p278_032_mic1.flac,Adult male low pitched voice with clear pronunciation and convincing speech.,1
607,p278_032_mic1.flac,adult male with rough voice and unclear pronunciation in the second half of the sentence,0
608,common_voice_en_23178328.mp3,Elderly male deep voice with convincing speech.,1
609,common_voice_en_23178328.mp3,An adult man with bass voice and American accent speaks ,0
610,common_voice_en_27664189.mp3,Adult male low pitched voice with clear pronunciation.,1
611,common_voice_en_27664189.mp3,Adult male with unclear pronunciation.,0
612,common_voice_en_94218.mp3,Adult male high pitched voice with clear pronunciation and convincing speech.,1
613,common_voice_en_94218.mp3,Clear older female voice with an american accent,0
614,common_voice_en_19957214.mp3,Adult male low pitched voice with Polish accent and clear pronunciation.,1
615,common_voice_en_19957214.mp3,Mature woman with low voice speaks emotionlessly.,0
616,common_voice_en_19687193.mp3,Adult male high pitched voice with clear pronunciation and convincing speech.,1
617,common_voice_en_19687193.mp3,"Adult man speaks with a tremulous, brittle voice.",0
618,common_voice_en_24910061.mp3,Young woman high pitched childlike voice with unclear pronunciation.,1
619,common_voice_en_24910061.mp3,Young adult female with a Scottish accent speaks with an airy voice ,0
620,common_voice_en_83775.mp3,Adult male low pitched voice with Italian accent and convincing speech.,1
621,common_voice_en_83775.mp3,Adult male with deep voice and strong German accent speaks in a direct manner.,0
622,common_voice_en_22917372.mp3,Elderly male deep calming voice with African accent and clear pronunciation.,1
623,common_voice_en_22917372.mp3,"Adult male with nasal low pitched voice, fluent speech, clear pronunciation, good intelligibility.",0
624,common_voice_en_19497779.mp3,Adult male low pitched voice with clear pronunciation and convincing speech.,1
625,common_voice_en_19497779.mp3,Adult male speaks with modulated confident voice with clear pronunciation.,0
626,common_voice_en_19622262.mp3,Adult woman confident voice with clear pronunciation.,1
627,common_voice_en_19622262.mp3,Mature male with a deep voice and clear pronunciation speaks calmly.,0
628,common_voice_en_23710576.mp3,Adult male voice with unclear pronunciation and monotone speech.,1
629,common_voice_en_23710576.mp3,"Young male with unclear pronunciation and squeaky voice, sounds anxious, has uneven cadence.",0
630,common_voice_en_511623.mp3,Adult male low pitched confident voice.,1
631,common_voice_en_511623.mp3,Deep pitched sound.,0
632,common_voice_en_17257621.mp3,Adult male low pitched voice with clear pronunciation.,1
633,common_voice_en_17257621.mp3,Young male with British accent is speaking in frustrated voice with clear pronunciation.,0
634,common_voice_en_538807.mp3,Adult woman high pitched voice with clear pronunciation.,1
635,common_voice_en_538807.mp3,Young female with a high pitched shrill voice speaks with unclear pronunciation and an Australian accent,0
636,common_voice_en_23941690.mp3,Adult male voice with clear pronunciation and confident speech speaking slowly.,1
637,common_voice_en_23941690.mp3,adult male with high pitched and monotone voice,0
638,common_voice_en_18693521.mp3,Elderly male low pitched voice with convincing speech and clear pronunciation making pauses while speaking.,1
639,common_voice_en_18693521.mp3,"Adult male with quiet and muffled voice, unclear pronunciation and slow pace.",0
640,common_voice_en_20067643.mp3,Elderly male voice with clear pronunciation and stumbling between words.,1
641,common_voice_en_20067643.mp3,Adult male voice with a deep smooth sound speaking with fast pace,0
642,common_voice_en_18870168.mp3, Adult female with a very serious and montone voice and clear pronunciation,1
643,common_voice_en_18870168.mp3,Mature male with unclear pronunciation and convincing speech.,0
644,common_voice_en_21081213.mp3,"Old male with a raspy, deep and serious voice and slow speech",1
645,common_voice_en_21081213.mp3,The guy with a possible British accent speaks fast and semi-monotone.His voice is medium pitched.,0
646,common_voice_en_348416.mp3,"Young male with a calm, emotionless and flat voice and a bit unclear pronunciation",1
647,common_voice_en_348416.mp3,Adult male with a low pitched voice speaks with an accent,0
648,common_voice_en_175457.mp3,Adult male with a deep and serious voice and bad microphone quality,1
649,common_voice_en_175457.mp3,"Young female with British accent, nasal low pitched voice and clear pronunciation.",0
650,common_voice_en_19515881.mp3,"Adult female with a serious and confident voice, American accent and a mouse click at the end of the clip",1
651,common_voice_en_19515881.mp3,Young male with a British accent and clear pronunciation and a serious voice.,0
652,common_voice_en_18105508.mp3,Adult male with a humorous and robot-like voice and a bit unclear pronunciation,1
653,common_voice_en_18105508.mp3,"A high-pitched young woman, does not understand anything that she says, people's speech is in the background.",0
654,p308_039_mic1.flac,"Adult female with a serious, emotionless and low pitched voice ",1
655,p308_039_mic1.flac,Young man with a slight Asian accent speaks clearly.,0
656,common_voice_en_22224082.mp3,Young boy with a deep voice and mouse pad click at the start and end of the clip,1
657,common_voice_en_22224082.mp3,"Adult female with lower soft voice, strong accent and unclear pronunciation.",0
658,common_voice_en_18658657.mp3,Adult male with a serious and convincing voice and clear pronunciation,1
659,common_voice_en_18658657.mp3,mature male with flat voice,0
660,common_voice_en_27680909.mp3,Elderly male with a raspy and calm voice and slow speech,1
661,common_voice_en_27680909.mp3,Adult female with low pitched voice speaking with British accent.,0
662,common_voice_en_27928632.mp3,Adult male with a serious and nasal voice and clear pronunciation,1
663,common_voice_en_27928632.mp3,Mature male voice is speaking clearly.,0
664,common_voice_en_129495.mp3,"Adult male with a smart, flat and convincing voice ",1
665,common_voice_en_129495.mp3,Mature male voice is speaking clearly.,0
666,common_voice_en_25689909.mp3,Adult male with a serious and unconfident voice and Russian accent,1
667,common_voice_en_25689909.mp3,A low quality audio recording of a mature woman with a flat emotionless voice speaking slowly with clear pronunciation.,0
668,p298_228_mic1.flac,"Adult male with a calm, smart and low pitched voice and clear pronunciation",1
669,p298_228_mic1.flac,Adult woman low pitched voice with clear pronunciation speaking slowly.,0
670,common_voice_en_20715660.mp3,"Young boy with pauses in the speech, British accent and a vibration in the background",1
671,common_voice_en_20715660.mp3,Late teenage girl with American accent and sharp voice with clear pronunciation,0
672,common_voice_en_32372428.mp3,Adult female voice with a very understandable American accent,1
673,common_voice_en_32372428.mp3,The childlike voice of a teenager girl with a moderate and clear pronunciation with vibrant voice perception. ,0
674,common_voice_en_20310285.mp3,Adult male with a calm and confident voice and weak Russian accent,1
675,common_voice_en_20310285.mp3,"Young boy with pauses in the speech, British accent and a vibration in the background",0
676,common_voice_en_18985528.mp3,"Elderly male voice with a convincing, humble and smart tone and a British accent",1
677,common_voice_en_18985528.mp3,Mature male with squeaky voice and unclear pronunciation,0
678,common_voice_en_25440531.mp3,Adult male with a calm and emotionless voice and clear pronunciation,1
679,common_voice_en_25440531.mp3,adult male with  monotone voice,0
680,common_voice_en_23626081.mp3,"Adult male with a flat and a bit raspy voice, a bit unclear pronunciation and a touchpad click at the end of the clip",1
681,common_voice_en_23626081.mp3,"High pitched young childlike female voice with unclear heavy accent and clear pronunciation, with unnatural rhythmic speech, loud rumbling noise in the background.",0
682,common_voice_en_541365.mp3,"Adult male with unrecognizable accent, mostly unclear pronunciation and flat monotone voice.",1
683,common_voice_en_541365.mp3,Mature male with a flat monotone voice speaks indistinctly.,0
684,common_voice_en_22023511.mp3,"Teenager female with Finnish accent, soft flat high pitcehd voice and mostly clear pronunciation.",1
685,common_voice_en_22023511.mp3,An adult woman with British accent speaks emotionless,0
686,common_voice_en_18052554.mp3,"Young male with Indian accent, partly unclear pronunciation and flat monotone voice.",1
687,common_voice_en_18052554.mp3,Adult female with a robotic voice speaking with chopped speech.,0
688,common_voice_en_27190941.mp3,"Young male with Indian accent and high pitched voice, unclear pronunciation.",1
689,common_voice_en_27190941.mp3,Adult flat male voice is speaking friendly and fast.,0
690,p336_382_mic1.flac,"Young female with British accent, nasal low pitched voice and clear pronunciation.",1
691,p336_382_mic1.flac,Adult male with a calm and confident voice and weak Russian accent,0
692,common_voice_en_22282050.mp3,"Mature female with Indian accent, mostly unclear pronunciation and high pitched piercing nasal voice.",1
693,common_voice_en_22282050.mp3,young female with high pitched voice and slow speech,0
694,p315_049_mic1.flac,"Adult male with American accent, higher pitched nasal bright voice and clear pronunciation.",1
695,p315_049_mic1.flac,"Teenager female with Finnish accent, soft flat high pitcehd voice and mostly clear pronunciation.",0
696,common_voice_en_20471.mp3,"Mature male with American accent, partly unclear pronunciation and low pitched deep monotone voice.",1
697,common_voice_en_20471.mp3,Adult male with a deep low-pitched voice speaking very shortly.,0
698,common_voice_en_17416342.mp3,"Adult female with American accent, clear pronunciation and emotional convincing voice.",1
699,common_voice_en_17416342.mp3,"Older male with American accent speaking in a convincing, serious, lower-pitched tone of voice.",0
700,common_voice_en_20836951.mp3,"Adult male with Estonian accent, clear pronunciation and monotone flat voice.",1
701,common_voice_en_20836951.mp3,Adult male with unknown accent and unclear voice speaks quietly.,0
702,common_voice_en_23668816.mp3,"Mature female with strong accent, unclear pronunciation and piercing nasal monotone voice with static background noise.",1
703,common_voice_en_23668816.mp3,Young female with British accent and cheerful clear tone.,0
704,common_voice_en_25270343.mp3,"Adult amle with American accent, clear pronunciation and high pitched nasal twanged voice.",1
705,common_voice_en_25270343.mp3,Young male speaks with clear pronunciation and curious voice and with some noise of a microphone.,0
706,common_voice_en_19953907.mp3,"Mature male with Indian accent, unclear pronunciation and low pitched nasal piearcing voice.",1
707,common_voice_en_19953907.mp3,A young British male with a rather high-pitched voice speaks in a cheery voice with some vocal fry at the end.,0
708,common_voice_en_158498.mp3,"Mature female with American accent, upsetting monotone soft voice and clear pronunciation.",1
709,common_voice_en_158498.mp3,Adult male with deep and low voice speaks in a emotionless way and quickly.,0
710,common_voice_en_653157.mp3,"Adult male with German accent, partly unclear pronunciation and flat monotone voice.",1
711,common_voice_en_653157.mp3,Young man talking with a deep monotone voice ,0
712,p270_439_mic1.flac,"Adult male with German accent, deep convincing monotone voice and partly unclear pronunciation.",1
713,p270_439_mic1.flac,Adult woman with an accent speaking and putting separate emphasis on each word ,0
714,common_voice_en_19581360.mp3,"Elderly male with British accent, flat airy convincing voice and clear pronunciation.",1
715,common_voice_en_19581360.mp3,An adult man with bass voice and American accent speaks lowly ,0
716,common_voice_en_18506624.mp3,"Adult male with slight Russian or Scandinavian accent, deep low pitched voice and clear pronunciation.",1
717,common_voice_en_18506624.mp3,An adult male with a low voice speaking in a loud and clear manner but is too close to the mic.,0
718,p246_303_mic1.flac,"Adult male with British accent, clear pronunciation and deep voice.",1
719,p246_303_mic1.flac,"AN adult male with an American accent, clear pronunciation and a deep monotone voice.",0
720,p245_351_mic1.flac,"Adult male with British accent, clear pronunciation and low pitched deep voice.",1
721,p245_351_mic1.flac,An adult male speaking in an Indian accent with unclear pronunciation.,0
722,common_voice_en_29065677.mp3,"An adult female with a German accent, clear pronunciation and an emotionless voice.",1
723,common_voice_en_29065677.mp3,A lady with a British accent speaks in a high tome rapidly.,0
724,common_voice_en_26939022.mp3,"An adult female with a wise-sounding low pitched voice, an American accent and clear pronunciation.",1
725,common_voice_en_26939022.mp3,Adult female speaking with a low-pitched voice in a disappointed tone and audible inhale and exhale in the beginning and end. ,0
726,common_voice_en_17917620.mp3,"An adult male with a cheery and deep voice, an American accent and clear pronunciation.",1
727,common_voice_en_17917620.mp3,Adult male with high pitched voice speaks monotonely,0
728,common_voice_en_1858160.mp3,"An adult male with an American accent, unclear pronunciation and an emotionless voice.",1
729,common_voice_en_1858160.mp3,A teenage or early adult guy with a neutral accent speaks slowly in a monotone.,0
730,common_voice_en_19125383.mp3,"An adult male with an Australian accent, deep emotionless voice and clear pronunciation.",1
731,common_voice_en_19125383.mp3,An adult female speaks with menacing voice,0
732,common_voice_en_24680744.mp3,A teenage boy with clear pronunciation and a deep matter-of-fact voice.,1
733,common_voice_en_24680744.mp3,"An adult male with an Australian accent, deep emotionless voice and clear pronunciation.",0
734,common_voice_en_23832751.mp3,"A mature female with an American accent, emotionless voice and clear pronunciation speaking calmly.",1
735,common_voice_en_23832751.mp3,Middle aged male sounds like too far away from the microphone.,0
736,p237_046_mic1.flac,"An adult male with a deep emotionless voice, clear pronunciation and an American accent.",1
737,p237_046_mic1.flac,Young male with an Eastern European accent and a flat bored voice with background noise of a barking dog.,0
